x,world-population,terrestrial-biosphere-degradation,domesticated-land,coastal-nitrogen,tropical-forest-lost,shrimp-aquaculture,ocean-acidification,marine-fish-capture,stratospheric-ozone,surface-temperature,nitrous-dioxide,methane,carbon-dioxide,international-tourism,telecommunications,transportation,fertilizer-consumption,paper-production,water-use,large-dam,primary-energy-use,foreign-direct-investement,real-gdp,urban-population
0.497075,,,,,,,,,,,,,,,,,,,,,0.044249,,,
0.498078,0.148565,,,,,,,,,,,,,,,,,,,,,,,
0.498146,,,,,,,,,,,,,0.121544,,,,,,,,,,,
0.499812,,,,,,,,,,0.213293,,,,,,,,,,,,,,
0.502223,,,0.259801,,,,,,,,,,,,,,,,,,,,,
0.504687,,,,,,,,,,,,,,,,,,,,,,,,0.033587
0.504763,,,,,,,,,,,,,,,,,,,,0.003424,,,,
0.505021,,,,,,,,,,,0.152353,,,,,,,,,,,,,
0.505388,,,,,,,,,,,,,,,,,,,,,,,0.00594,
0.505661,,,,,,,,,,,,0.149213,,,,,,,,,,,,
0.505741,,,,,0.117166,,,,,,,,,,,,,,,,,,,
0.508352,,,,0.084496,,,,,,,,,,,,,,,,,,,,
0.510724,,0.146713,,,,,,,,,,,,,,,,,,,,,,
0.512243,,,,,,,,,,,,,,,,,,,,,0.044918,,,
0.513875,0.150492,,,,,,,,,,,,,,,,,,,,,,,
0.513947,,,,,,,,,,,,,0.121586,,,,,,,,,,,
0.517385,,,0.262983,,,,,,,,,,,,,,,,,,,,,
0.520189,,,,,,,,,,,,0.153022,,,,,,,,,,,,
0.520198,,,,,,,,,,,0.149252,,,,,,,,,,,,,
0.520487,,,,,,,,,,,,,,,,,,,,,,,,0.034257
0.520564,,,,,,,,,,,,,,,,,,,,0.003466,,,,
0.520903,,,,,0.120348,,,,,,,,,,,,,,,,,,,
0.52119,,,,,,,,,,,,,,,,,,,,,,,0.005982,
0.523515,,,,0.08705,,,,,,,,,,,,,,,,,,,,
0.525889,,0.148639,,,,,,,,,,,,,,,,,,,,,,
0.52784,,,,,,,,,,,,,0.12665,,,,,,,,,,,
0.528043,,,,,,,,,,,,,,,,,,,,,0.045588,,,
0.529039,0.152417,,,,,,,,,,,,,,,,,,,,,,,
0.532545,,,0.266794,,,,,,,,,,,,,,,,,,,,,
0.534741,,,,,,,,,,,0.147405,,,,,,,,,,,,,
0.535355,,,,,,,,,,,,0.154319,,,,,,,,,,,,
0.535653,,,,,,,,,,,,,,,,,,,,,,,,0.035554
0.536065,,,,,0.12353,,,,,,,,,,,,,,,,,,,
0.536366,,,,,,,,,,,,,,,,,,,,0.003508,,,,
0.536991,,,,,,,,,,,,,,,,,,,,,,,0.006024,
0.538098,,,,,,,0.068866,,,,,,,,,,,,,,,,,
0.53868,,,,0.088976,,,,,,,,,,,,,,,,,,,,
0.541052,,0.151192,,,,,,,,,,,,,,,,,,,,,,
0.541091,,,,,,,,,,,,,0.135483,,,,,,,,,,,
0.543843,,,,,,,,,,,,,,,,,,,,,0.046259,,,
0.544203,0.154971,,,,,,,,,,,,,,,,,,,,,,,
0.546509,,,,,,,,,,0.24358,,,,,,,,,,,,,,
0.547705,,,0.270604,,,,,,,,,,,,,,,,,,,,,
0.549247,,,,,,,,,,,,0.160012,,,,,,,,,,,,
0.550542,,,,,,,,,,,0.147447,,,,,,,,,,,,,
0.551226,,,,,0.126712,,,,,,,,,,,,,,,,,,,
0.551452,,,,,,,,,,,,,,,,,,,,,,,,0.036853
0.552167,,,,,,,,,,,,,,,,,,,,0.003551,,,,
0.552793,,,,,,,,,,,,,,,,,,,,,,,0.006066,
0.554476,,,,0.090903,,,,,,,,,,,,,,,,,,,,
0.555618,,,,,,,,,,,,,0.13992,,,,,,,,,,,
